No,担当部署,監査項目,根拠法令・根拠規程,監査内容,確認証憑,被監査部門の意見,問題点,改善指摘事項,外部参照情報
⚪︎,,機関運営,稟議規程/職務権限規程別表,稟議手続は、稟議規程・職務権限規程（決裁権限一覧表）に則り、適正に運営されているか。,,,,,
⚪︎,,機関運営,稟議規程/職務権限規程別表,事後稟議が行われていないか,,,,,
⚪︎,,資産の管理,ー,取引に関連した資産の取扱い「資産管理」に対する責任の分離等の体制が確立されているか,,,,,
⚪︎,,資産の管理,ー,業績に大きな影響を与えうる不良債権がないかどうか。不良債権は企業評価に大きな影響を与えるものである場合、その情報が適正に計上されるか,,,,,
⚪︎,,情報セキュリティ,●規程,パソコンを使用する際のパスワードは他人に教えていないか。また、そのことをメンバーに周知しているか。,,,,,
⚪︎,,情報セキュリティ,情報セキュリティ基本方針/情報セキュリティ管理規程,全社員に情報セキュリティポリシーを順守させるための教育を、適切に企画・運営しているか。,,,,,
⚪︎,,情報セキュリティ（個人情報）,個人情報保護管理規程,個人情報管理が、個人情報保護規程に則り適切に運営されているか。,,,,,
⚪︎,,就業規則・届出関係,,労働基準法等の関連法令の改正にあわせ諸規程が更新されているか。,,,,,
⚪︎,,就業規則・届出関係,労働基準法32条・36条・38条の3・40条,時間外及び休日の労働における労使協定（36協定）等、必要な協定書は適切に締結され、労働基準監督署に提出されているか,,,,,
⚪︎,,機関運営,"会社法369条1項2項,365条1項,356条1項,364条、356条",利益相反取引における特別利害関係人の除外等、法律上求められる手続きが適切に実施されているか,,,,,
⚪︎,,防災等,,定期的に消防訓練を実施しているか,,,,,
⚪︎,,反社チェック,反社会的勢力対策規程、暴力団等反社会的勢力に対する対応マニュアル,社会情勢や潮流を踏まえ、反社会的勢力との取引防止、排除に対する基本方針（もしくは規程）は明確になっているか,,,,,
⚪︎,,法務・コンプライアンス研修,コンプライアンス管理規程,全社向けに法令遵守事項、コンプライアンス事項、ハラスメント防止研修を定期的に実施しているか。,,,,,
⚪︎,,与信管理,与信管理規程/与信管理要領,与信管理規程に基づき与信限度枠管理を適切に行っているか。,,,,,
